RAM,brand,capacity,color,depth,display_size,fingerprint,generation/release,graphics_card,height,item_title,operating_system,operating_system_architecture,price,touch_display,weight,width
16 GB RAM,HP,256 GB NVMe M.2 SSD/1 TB HDD,Natural Silver,28.30 cm ( 11.14 in ),"17.3""",NA,2017,NVIDIA GeForce 940MX (4 GB),2.33 cm ( .92 in ),ENVY 17-ae003nx,Windows 10,64 bit,0.0,No,3.04 kg ( 6.70 lb ),41.60 cm ( 16.38 in )
8 GB RAM,HP,256 GB PCIe NVMe M.2 SSD,Silk Gold,21.56 cm ( 8.49 in ),"13.3""",NA,2017,Intel Graphics 620,1.39 cm ( .55 in ),ENVY 13-ad001nx,Windows 10,64 bit,0.0,No,1.23 kg ( 2.71 lb ),30.54 cm ( 12.02 in )
8 GB RAM,Apple,256 GB (PCIe Flash),Silver,22.70 cm ( 8.94 in ),"13.3""",NA,2017,Intel HD Graphics 6000,1.70 cm ( .67 in ),MacBook Air,macOS Sierra,Not Specified,5649.0,No,1.35 kg ( 2.98 lb ),32.50 cm ( 12.80 in )
8 GB RAM,HP,512 GB PCIe NVMe M.2 SSD,Gold,1.49 cm ( .59 in ),"13.3""",NA,2018,NVIDIA GeForce MX150 (2 GB),21.20 cm ( 8.35 in ),ENVY 13-ah0006nx,Windows 10,64 bit,4939.0,No,1.30 kg ( 2.87 lb ),30.70 cm ( 12.09 in )
4 GB RAM,Asus,1 TB HDD,Star Grey,25.10 cm ( 9.88 in ),"15.6""",NA,2019,Intel HD Graphics 620,2.72 cm ( 1.07 in ),X543UA,Windows 10,64 bit,1799.0,No,1.90 kg ( 4.19 lb ),38.10 cm ( 15.00 in )
8 GB RAM,Dell,128 GB M.2 SSD/1 TB HDD,Silver,235.00 mm ( 9.25 in ),"15.6""",NA,2018,NVIDIA GeForce GTX 1050 Ti (4 GB),17.00 mm ( .67 in ),XPS 15 9570,Windows 10,64 bit,6499.0,No,1.80 kg ( 3.97 lb ),357.00 mm ( 14.06 in )
4 GB RAM,Acer,64 GB (eMMC),Black,245.00 mm ( 9.65 in ),"14""",NA,2018,Intel HD Graphics 500,17.95 mm ( .71 in ),Aspire 1 A114-31,Windows 10 S,64 bit,999.0,No,1.70 kg ( 3.75 lb ),343.00 mm ( 13.50 in )
8 GB RAM,HP,128 GB PCIe NVMe M.2 SSD,Natural Silver,1.54 cm ( .61 in ),"13.3""",NA,2018,Intel UHD Graphics 620,21.10 cm ( 8.31 in ),Pavilion 13-an0000nx,Windows 10,64 bit,3149.0,No,1.30 kg ( 2.87 lb ),31.10 cm ( 12.24 in )
8 GB RAM,Dell,1 TB HDD,Black,258.00 mm ( 10.16 in ),"15.6""",NA,2019,AMD Radeon 520 (2 GB),22.70 mm ( .89 in ),Inspiron 15 3580,Windows 10,64 bit,3149.0,No,2.28 kg ( 5.03 lb ),380.00 mm ( 14.96 in )
8 GB RAM,Dell,1 TB HDD,Black,258.00 mm ( 10.16 in ),"15.6""",NA,2019,AMD Radeon 520 (2 GB),22.70 mm ( .89 in ),Inspiron 15 3580,Windows 10,64 bit,2699.0,No,2.28 kg ( 5.03 lb ),380.00 mm ( 14.96 in )
